link,price,street,property_type,neighborhood,city,floor,rooms,area_sqm,price_per_sqrm,full_address,Lat,Long,Distance_To_Hub_Meters
https://www.yad2.co.il/realestate/item/bv8wrf4w?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=19,2090000.0,יאנוש קורצ'אק,דירה,קרית היובל,ירושלים,1.0,2.0,55.0,38000.0,"יאנוש קורצ'אק, קרית היובל, ירושלים",31.759258,35.1748563,391.03714456016763
https://www.yad2.co.il/realestate/item/2ivnw543?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=20,3400000.0,רבדים,דירת גן,ארנונה,ירושלים,1.0,3.0,94.0,36170.21276595745,"רבדים, ארנונה, ירושלים",31.7470215,35.2188209,1126.0092202680985
https://www.yad2.co.il/realestate/item/wjiq6hu5?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=21,2990000.0,גרשון אבנר 10,דירה,ארמון הנציב,ירושלים,1.0,4.0,110.0,27181.81818181818,"גרשון אבנר 10, ארמון הנציב, ירושלים",31.744236,35.2277737,1228.85095700466
https://www.yad2.co.il/realestate/item/0lcnpsfg?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=21,3950000.0,השופט חיים כהן 14,דירה,ארנונה,ירושלים,3.0,5.0,112.0,35267.857142857145,"השופט חיים כהן 14, ארנונה, ירושלים",31.7445005,35.2191938,1387.1714643932523
https://www.yad2.co.il/realestate/item/6kzoadpt?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=21,3280000.0,רחל המשוררת,דירה,בית הכרם,ירושלים,2.0,4.0,90.0,36444.444444444445,"רחל המשוררת, בית הכרם, ירושלים",31.7812675,35.18771,479.47894066610337
https://www.yad2.co.il/realestate/item/xwu2cjqz?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=21,9900000.0,קטמון הישנה,דירה,קטמון הישנה,ירושלים,6.0,4.0,160.0,61875.0,"קטמון הישנה, קטמון הישנה, ירושלים",31.766538,35.2104129,631.1388768313768
https://www.yad2.co.il/realestate/item/2gqvbuur?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=22,2350000.0,בר יוחאי 7,דירה,קטמונים,ירושלים,0.0,2.0,30.0,78333.33333333333,"בר יוחאי 7, קטמונים, ירושלים",31.7533044,35.1972269,1124.0723269141033
https://www.yad2.co.il/realestate/item/y55o3d8m?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=23,4390000.0,משה קול,דירה,בית הכרם,ירושלים,3.0,4.0,95.0,46210.52631578947,"משה קול, בית הכרם, ירושלים",31.7745881,35.1875162,380.6064327720738
https://www.yad2.co.il/realestate/item/cch4wz3f?opened-from=feed&component-type=main_feed&spot=standard&location=33&pagination=23,2320000.0,הרב אברהם מרדכי ווינגרטן,דירה,חומת שמואל,ירושלים,3.0,3.0,91.0,25494.505494505494,"הרב אברהם מרדכי ווינגרטן, חומת שמואל, ירושלים",31.720859,35.2178181,2609.711943981884
https://www.yad2.co.il/realestate/item/wq8q13ts?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=23,6350000.0,יהושע בן נון,דופלקס,המושבה היוונית,ירושלים,0.0,5.0,135.0,47037.03703703704,"יהושע בן נון, המושבה היוונית, ירושלים",31.762881,35.2176487,84.26328140655637
https://www.yad2.co.il/realestate/item/2crp08zq?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=24,3950000.0,גבעת משואה,דירת גן,גבעת משואה,ירושלים,1.0,5.0,200.0,19750.0,"גבעת משואה, גבעת משואה, ירושלים",31.7497832,35.1697665,1357.4031167866276
https://www.yad2.co.il/realestate/item/z336ya1j?opened-from=feed&component-type=main_feed&spot=standard&location=28&pagination=24,2699000.0,פנחס רוזן,דירה,רמת שרת,ירושלים,7.0,3.0,101.0,26722.772277227723,"פנחס רוזן, רמת שרת, ירושלים",31.7571268,35.1856084,59.775065899082314
https://www.yad2.co.il/realestate/item/puq1mp8l?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=24,3240000.0,שבתאי הנגבי,דירה,גילה,ירושלים,0.0,5.0,170.0,19058.82352941177,"שבתאי הנגבי, גילה, ירושלים",31.7362286,35.1999666,2633.2090606520396
https://www.yad2.co.il/realestate/item/x79v9q1h?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=24,2600000.0,הארי טרומן,דירה,רמות,ירושלים,8.0,3.0,92.0,28260.869565217392,"הארי טרומן, רמות, ירושלים",31.8126525,35.2009442,1167.3510243896405
https://www.yad2.co.il/realestate/item/r44ifnzm?opened-from=feed&component-type=main_feed&spot=standard&location=15&pagination=25,3200000.0,ההגנה 5,דירה,הגבעה הצרפתית,ירושלים,6.0,4.0,80.0,40000.0,"ההגנה 5, הגבעה הצרפתית, ירושלים",31.8032928,35.2373231,274.8914255923364
https://www.yad2.co.il/realestate/item/05t8xrtz?opened-from=feed&component-type=main_feed&spot=standard&location=30&pagination=25,3850000.0,הבנאי,דירה,בית הכרם,ירושלים,3.0,4.0,109.0,35321.10091743119,"הבנאי, בית הכרם, ירושלים",31.776293,35.1920992,759.5749657408854
https://www.yad2.co.il/realestate/item/z176vfw0?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=25,3380000.0,הדף היומי 607,דירה,רמות,ירושלים,2.0,4.0,110.0,30727.272727272728,"הדף היומי 607, רמות, ירושלים",31.8147178,35.204601,827.5082694129953
https://www.yad2.co.il/realestate/item/bvy5khka?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=26,4350000.0,משה קול,דופלקס,בית הכרם,ירושלים,3.0,4.0,112.0,38839.28571428572,"משה קול, בית הכרם, ירושלים",31.7745881,35.1875162,380.6064327720738
https://www.yad2.co.il/realestate/item/3wz1p1sp?opened-from=feed&component-type=main_feed&spot=standard&location=32&pagination=26,4850000.0,שדרות הרצל,דירה,בית הכרם,ירושלים,5.0,4.0,115.0,42173.913043478264,"שדרות הרצל, בית הכרם, ירושלים",31.772776,35.183006,388.54038672701813
https://www.yad2.co.il/realestate/item/7kt43l9n?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=26,2290000.0,אנוסי משהד,דירה,ארמון הנציב,ירושלים,2.0,4.0,92.0,24891.304347826088,"אנוסי משהד, ארמון הנציב, ירושלים",31.7449323,35.2320953,1017.850361886885
https://www.yad2.co.il/realestate/item/ymt37ug1?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=27,3650000.0,החלוץ,דירה,בית הכרם,ירושלים,2.0,4.0,90.0,40555.555555555555,"החלוץ, בית הכרם, ירושלים",31.7763727,35.1901407,657.3798816808885
https://www.yad2.co.il/realestate/item/lfyzdc1i?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=28,3390000.0,אברהם פררה,דירה,הולילנד,ירושלים,8.0,4.0,110.0,30818.18181818182,"אברהם פררה, הולילנד, ירושלים",31.7568163,35.189327,310.4284315824965
https://www.yad2.co.il/realestate/item/7t4fhbt1?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=28,5114000.0,שדרות המאירי,דירה,קרית משה,ירושלים,5.0,5.0,140.0,36528.57142857143,"שדרות המאירי, קרית משה, ירושלים",31.7874729,35.1949718,290.5601851960126
https://www.yad2.co.il/realestate/item/7c0uhdwf?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=29,2960000.0,אריה ורשבסקי,דירה,חומת שמואל,ירושלים,11.0,5.0,110.0,26909.090909090908,"אריה ורשבסקי, חומת שמואל, ירושלים",31.7295589,35.2194925,1919.1771315756487
https://www.yad2.co.il/realestate/item/jltk2z2g?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=29,4370000.0,עמנואל זיסמן,גג/ פנטהאוז,חומת שמואל,ירושלים,9.0,5.0,250.0,17480.0,"עמנואל זיסמן, חומת שמואל, ירושלים",31.71969,35.2306867,1771.7156643048427
https://www.yad2.co.il/realestate/item/s0r2ybs5?opened-from=feed&component-type=main_feed&spot=standard&location=38&pagination=29,3600000.0,קטמונים,דירת גן,קטמונים,ירושלים,0.0,4.0,140.0,25714.285714285714,"קטמונים, קטמונים, ירושלים",31.7512767,35.1941056,974.4878291114258
https://www.yad2.co.il/realestate/item/6g77mef1?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=30,1950000.0,יפה נוף,דירה,בית הכרם,ירושלים,2.0,2.0,61.0,31967.213114754097,"יפה נוף, בית הכרם, ירושלים",31.7819439,35.1833206,679.7671489356347
https://www.yad2.co.il/realestate/item/2hr2i1x0?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=31,7850000.0,חיים נחמן ביאליק 8,בית פרטי/ קוטג',בית הכרם,ירושלים,0.0,5.0,160.0,49062.5,"חיים נחמן ביאליק 8, בית הכרם, ירושלים",31.7792126,35.1889281,584.1203456505187
https://www.yad2.co.il/realestate/item/m51n9xbh?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=31,3490000.0,החלוץ,דירה,בית הכרם,ירושלים,1.0,3.0,77.0,45324.67532467532,"החלוץ, בית הכרם, ירושלים",31.7763727,35.1901407,657.3798816808885
https://www.yad2.co.il/realestate/item/xyqvfol3?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=32,2700000.0,צונדק 14,דירה,רמות,ירושלים,2.0,3.0,73.0,36986.30136986302,"צונדק 14, רמות, ירושלים",31.8124202,35.1952986,1701.4187957865422
https://www.yad2.co.il/realestate/item/c4o33g1i?opened-from=feed&component-type=main_feed&spot=standard&location=29&pagination=32,9350000.0,רחל המשוררת 4,דירת גן,בית הכרם,ירושלים,0.0,6.0,354.0,26412.429378531073,"רחל המשוררת 4, בית הכרם, ירושלים",31.780963,35.187217,537.0629609727578
https://www.yad2.co.il/realestate/item/ggoklmt8?opened-from=feed&component-type=main_feed&spot=standard&location=33&pagination=32,3500000.0,יפה רום,דירה,גילה,ירושלים,0.0,5.0,200.0,17500.0,"יפה רום, גילה, ירושלים",31.7314599,35.1896908,2808.4370875342493
https://www.yad2.co.il/realestate/item/oqbvo07k?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=33,2190000.0,משטרת היישובים 3,דירה,פסגת זאב,ירושלים,2.0,3.0,70.0,31285.714285714286,"משטרת היישובים 3, פסגת זאב, ירושלים",31.8290819,35.2402739,242.1792177823767
https://www.yad2.co.il/realestate/item/31nfxu9t?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=33,3180000.0,בוליביה 14,דירה,קרית היובל,ירושלים,4.0,4.0,94.0,33829.78723404255,"בוליביה 14, קרית היובל, ירושלים",31.7560509,35.1792328,281.2021108484697
https://www.yad2.co.il/realestate/item/5n0u9j07?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=33,3250000.0,הרב שרירא גאון,דירה,גבעת שאול,ירושלים,2.0,3.0,85.0,38235.294117647056,"הרב שרירא גאון, גבעת שאול, ירושלים",31.7886516,35.1916262,125.06779864674988
https://www.yad2.co.il/realestate/item/6ki4qtrd?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=34,4100000.0,יפו 210,דירה,מקור ברוך,ירושלים,9.0,4.0,90.0,45555.555555555555,"יפו 210, מקור ברוך, ירושלים",31.7882118,35.206698,542.0661450164017
https://www.yad2.co.il/realestate/item/14f2m5ys?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=34,4360000.0,אשר וינר 1,דירת גן,ארמון הנציב,ירושלים,1.0,4.0,235.0,18553.191489361703,"אשר וינר 1, ארמון הנציב, ירושלים",31.7416706,35.2267518,1154.1561774549373
https://www.yad2.co.il/realestate/item/8cytfjzf?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=36,3090000.0,גרשון אבנר,דירה,ארמון הנציב,ירושלים,7.0,4.0,110.0,28090.909090909092,"גרשון אבנר, ארמון הנציב, ירושלים",31.7461075,35.2293041,1232.134394291787
https://www.yad2.co.il/realestate/item/tf6qz9yc?opened-from=feed&component-type=main_feed&spot=standard&location=3&pagination=37,2410000.0,הנרייטה סולד 7,דירה,קרית היובל,ירושלים,10.0,2.0,48.0,50208.333333333336,"הנרייטה סולד 7, קרית היובל, ירושלים",31.7598928,35.1686984,310.72417947682794
https://www.yad2.co.il/realestate/item/qqcv0ry6?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=37,4000000.0,חיים גרינברג 1355,דירה,רמות,ירושלים,1.0,4.0,120.0,33333.333333333336,"חיים גרינברג 1355, רמות, ירושלים",31.8166958,35.1920251,2034.521975497517
https://www.yad2.co.il/realestate/item/c0p8ykkm?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=37,3870000.0,הדישון 2,דירה,מלחה,ירושלים,1.0,4.0,125.0,30960.0,"הדישון 2, מלחה, ירושלים",31.7499229,35.1810176,770.4379636188879
https://www.yad2.co.il/realestate/item/f3r7myf2?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=37,3250000.0,הרב ניסנבוים 11,דירה,קרית משה,ירושלים,7.0,4.0,80.0,40625.0,"הרב ניסנבוים 11, קרית משה, ירושלים",31.7893953,35.1986236,667.8453648491989
