_id,StationId,CityCode,CityName,MetropolinCode,MetropolinName,StationTypeCode,StationTypeName,StationOperatorTypeCode,StationOperatorTypeName,Lat,Long,Daily_Bus_Volume
16428,5744,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.752051,35.24158,316
16429,5745,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.755472,35.240991,17
16430,5746,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.755223,35.240126,17
16431,5747,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.750473,35.240808,17
16432,5748,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.750454,35.241206,17
16433,5750,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.748756,35.238404,235
16434,5751,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.748445,35.238677,61
16435,5753,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.746271,35.240185,87
16436,5754,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.746861,35.249264,155
16437,5755,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.752245,35.251871,260
16438,5756,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.773195,35.24835,218
16439,5758,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.773283,35.24916,164
16440,5759,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.772066,35.247272,141
16441,5760,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.768971,35.250736,405
16442,5761,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.763288,35.247364,412
16443,5762,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.763442,35.247384,475
16444,5764,3000,ירושלים,4,ירושלים,1,תחנה רגילה,1,מפעילי אוטובוסים,31.755583,35.243525,106
